Code,Name,Credits,Technical Elective,Prerequisites,Corequisites,Year,Semester,,Elective Requirements,TotalCredits
1206221,Applied Probability and Statistics for Engineers,3,No,1417167,,2,1,,free_electives,6
1206222,Applied Mathematics for Industrial Engineers,3,No,1417267,,,,,technical_electives,19
1206223,Introduction to Experimental Design for Engineers,3,No,1206221,,2,2,,wellness,6
1206224,Introduction to Data Analytics for Industrial Engineers,3,No,,,2,2,,wellness_PE,1
1206251,Engineering Economy,3,No,,,2,2,,entrepreneurship,3
1206272,Industrial Safety,3,No,,,2,2,,thai_citizen_global,2
1206311,Manufacturing Processes I,3,No,1213211,,3,1,,language_communication_thai,3
1206312,Industrial Study,1,No,,,3,2,,language_communication_foreigner,9
1206321,Operations Research for Engineers I,3,No,1206221,,3,1,,language_communication_computer,3
1206322,Quality Control,3,No,1206221,,3,2,,aesthetics,3
1206323,Operations Research for Engineers II,3,No,1206321,,3,2,,,
1206341,Industrial Work Study,3,No,1206221,,3,1,,,
1206342,Production Planning and Control,3,No,1206321,,3,2,,,
1206343,Industrial Plant Design,3,No,1206341,,3,2,,,
1206361,Computer Applications for Industrial Engineers,3,No,1206221,,3,2,,,
1206362,Automatic Production System,3,No,1205201,,3,2,,,
1206371,Maintenance Engineering,3,No,1206221,,,,,,
1206381,Industrial Engineering Laboratory I,1,No,1206221,,3,1,,,
1206382,Industrial Engineering Laboratory II,1,No,1206381,,3,2,,,
1206390,Co-operative Education Preparation for Engineers,1,Yes,,,,,,,
1206399,Internship,1,Yes,,,4,1,,,
1206411,Industrial Instrumentation and Measurement,3,Yes,1206221,,,,,,
1206412,Tool Engineering,3,Yes,1206311,,,,,,
1206413,Industrial Pollution,3,Yes,1206311,,,,,,
1206414,Manufacturing Processes II,3,Yes,1206311,,,,,,
1206415,Industrial Virtual Digital Manufacturing and IoT Systems,3,Yes,,,,,,,
1206416,Product and Process Development,3,Yes,,,,,,,
1206421,Simulation,3,Yes,1206321,,,,,,
1206422,Industrial Quality Assurance,3,Yes,,,,,,,
1206423,Advanced Experimental Design for Engineers,3,Yes,1206223,,,,,,
1206424,Quality Engineering,3,Yes,1206322,,,,,,
1206425,Machine Learning for Industrial Engineers,3,Yes,01204111; 01206224,,,,,,
1206426,Deep Learning for Industrial Engineers,3,Yes,1206425,,,,,,
1206427,System Reliability and Maintenance,3,Yes,1206221,,,,,,
1206431,Industrial Management,3,Yes,,,,,,,
1206432,Management Information System for Engineers,3,Yes,1206361,,,,,,
1206433,Collaborative Communication and Effective Leadership,3,Yes,,,,,,,
1206441,Engineering Risk Analysis,3,Yes,01206221; 01206251,,,,,,
1206442,Energy Management,3,Yes,1206341,,,,,,
1206443,Ergonomics,3,Yes,1206341,,,,,,
1206444,Industrial Forecasting,3,Yes,1206221,,,,,,
1206445,Inventory Control,3,Yes,1206321,,,,,,
1206446,Value Engineering,3,Yes,1206311,,,,,,
1206447,Productivity Measurement and Management,3,Yes,1206341,,,,,,
1206448,Shop Floor Control,3,Yes,1206341,,,,,,
1206451,Industrial and Commercial Laws,3,Yes,,,,,,,
1206452,Financial Accounting and Industrial Cost Analysis,3,No,1206221,,4,1,,,
1206453,Industrial Project Feasibility Study,3,Yes,1206251,,,,,,
1206461,System Engineering,3,Yes,1206221,,,,,,
1206462,Logistics System Design and Management,3,Yes,1206321,,,,,,
1206463,Enterprise Resources Planning,3,Yes,01206342; 01206361,,,,,,
1206464,Supply Chain Management and Modeling,3,Yes,1206321,,,,,,
1206465,Engineering Project Management,3,Yes,,,,,,,
1206466,E-Commerce and Marketing Analytics for Industrial Engineers,3,Yes,,,,,,,
1206467,Strategic Decision Making and Game Theory for Engineers,3,Yes,1206221,,,,,,
1206471,Maintenance Engineering,3,Yes,1206221,,,,,,
1206490,Co-operative Education,6,Yes,,,,,,,
1206495,Industrial Engineering Project Preparation,1,No,,,4,1,,,
1206496,Selected Topics in Industrial Engineering,4,Yes,,,,,,,
1206497,Seminar,1,No,,,4,2,,,
1206498,Special Problems,4,Yes,,,,,,,
1206499,Industrial Engineering Project,2,No,1206495,,4,2,,,
1200431,Principles of Rail Engineering,3,Yes,,,,,,,
1200434,Rail Infrastructure,3,Yes,1200431,,,,,,
1200435,Rail System Operation and Maintenance,3,Yes,1200431,,,,,,
1204111,Computers and Programming,3,No,,,1,2,,,
1205201,Introduction to Electrical Engineering,3,No,,,2,2,,,
1205202,Electrical Engineering Laboratory I,1,No,1205201,,3,1,,,
1208111,Engineering Drawing,3,No,,,1,1,,,
1208221,Engineering Mechanics I,3,No,1417167,,2,1,,,
1208241,Thermodynamics,3,No,,,2,1,,,
1208281,Workshop Practice,1,No,,,2,1,,,
1208381,Mechanical Engineering Laboratory I,1,No,,,3,1,,,
1213211,Materials Science for Engineers,3,No,,,2,1,,,
1403114,Laboratory in Fundamentals of General Chemistry,1,No,,1403117,1,2,,,
1403117,Fundamentals of General Chemistry,3,No,,,1,2,,,
1417167,Engineering Mathematics I,3,No,,,1,1,,,
1417168,Engineering Mathematics II,3,No,1417167,,1,2,,,
1417267,Engineering Mathematics III,3,No,1417168,,2,1,,,
1420111,General Physics I,3,No,,,1,1,,,
1420113,Laboratory in Physics I,1,No,,1420111,1,1,,,
